Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2254048-9,Oy Fresta-Ravintolat Ab,,,2009-03-19,http://avoindata.prh.fi/opendata/tr/v1/2254048-9,OY
2248480-0,JJ Catering Oy,,,2009-03-03,http://avoindata.prh.fi/opendata/tr/v1/2248480-0,OY
2313271-9,Lapuan Grilli Oy,,,2010-02-05,http://avoindata.prh.fi/opendata/tr/v1/2313271-9,OY
2301995-1,Oloksen Ravintola Kammari Oy,,,2010-01-21,http://avoindata.prh.fi/opendata/tr/v1/2301995-1,OY
2357225-5,Oy Ronny's Restaurants Ab,,,2010-09-27,http://avoindata.prh.fi/opendata/tr/v1/2357225-5,OY
2354267-0,Lappeenrannan Tulliravintola Oy,,,2010-09-15,http://avoindata.prh.fi/opendata/tr/v1/2354267-0,OY
2355932-5,HEI-Ravintolat Oy,,,2010-09-10,http://avoindata.prh.fi/opendata/tr/v1/2355932-5,OY
2352067-4,Ravintola Uuden Seurahuoneen Hugo Oy,,,2010-09-01,http://avoindata.prh.fi/opendata/tr/v1/2352067-4,OY
2350438-3,Liedon Ravintola Oy,,,2010-09-01,http://avoindata.prh.fi/opendata/tr/v1/2350438-3,OY
2352345-3,K-D RAVINTOLA OY,,,2010-08-27,http://avoindata.prh.fi/opendata/tr/v1/2352345-3,OY
2366480-3,Garam & Vermiglio Catering Oy,,,2010-11-17,http://avoindata.prh.fi/opendata/tr/v1/2366480-3,OY
2368869-6,Rauman Grillipalvelut Oy,,,2010-11-10,http://avoindata.prh.fi/opendata/tr/v1/2368869-6,OY
2365159-4,Ravintola Kervan Oy,,,2010-11-10,http://avoindata.prh.fi/opendata/tr/v1/2365159-4,OY
2355227-0,J & P Ravintolat Oy,,,2010-12-31,http://avoindata.prh.fi/opendata/tr/v1/2355227-0,OY
