Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2839486-5,Kauppahallin Pyörykkäbaari Oy,,,2017-06-20,http://avoindata.prh.fi/opendata/tr/v1/2839486-5,OY
2835623-6,Baaris Oy,,,2017-06-08,http://avoindata.prh.fi/opendata/tr/v1/2835623-6,OY
2827203-2,Laine Publishing Oy,,,2017-05-02,http://avoindata.prh.fi/opendata/tr/v1/2827203-2,OY
2777894-7,HKP Päiväkahvibaari Oy,,,2017-03-31,http://avoindata.prh.fi/opendata/tr/v1/2777894-7,OY
2842568-4,Juice Public Oy,,,2017-07-17,http://avoindata.prh.fi/opendata/tr/v1/2842568-4,OY
2906384-9,Jussin Baari Oy,,,2018-06-01,http://avoindata.prh.fi/opendata/tr/v1/2906384-9,OY
2949372-6,Public Value Oy,,,2018-11-19,http://avoindata.prh.fi/opendata/tr/v1/2949372-6,OY
2955282-9,KaiBaari Oy,,,2018-12-05,http://avoindata.prh.fi/opendata/tr/v1/2955282-9,OY
2905420-5,Pubjus oy,,,2018-03-28,http://avoindata.prh.fi/opendata/tr/v1/2905420-5,OY
2921939-9,Babyface Music & Publishing Oy,,,2018-06-26,http://avoindata.prh.fi/opendata/tr/v1/2921939-9,OY
2926832-6,Maran Baari Oy,,,2018-07-23,http://avoindata.prh.fi/opendata/tr/v1/2926832-6,OY
3100798-5,Itiksen Speakeasy Oy,,,2019-11-27,http://avoindata.prh.fi/opendata/tr/v1/3100798-5,OY
3100794-2,Helsingin Speakeasy Oy,,,2019-11-27,http://avoindata.prh.fi/opendata/tr/v1/3100794-2,OY
3099301-5,Pub Pankki Oy,,,2019-11-19,http://avoindata.prh.fi/opendata/tr/v1/3099301-5,OY
3097373-5,Baarix Oy,,,2019-11-14,http://avoindata.prh.fi/opendata/tr/v1/3097373-5,OY
3104662-6,Pubo bubo oy,,,2019-12-12,http://avoindata.prh.fi/opendata/tr/v1/3104662-6,OY
3096040-8,Suomen Karaokebaarit Oy,,,2019-10-30,http://avoindata.prh.fi/opendata/tr/v1/3096040-8,OY
3093567-5,Krouvinmäki Capital Oy,,,2019-10-21,http://avoindata.prh.fi/opendata/tr/v1/3093567-5,OY
3093494-7,ePubQuiz Oy,,,2019-10-18,http://avoindata.prh.fi/opendata/tr/v1/3093494-7,OY
3006772-4,Old Irish Pub Finland Oy,,,2019-09-12,http://avoindata.prh.fi/opendata/tr/v1/3006772-4,OY
3016085-7,Kukkabaari Oy,,,2019-08-06,http://avoindata.prh.fi/opendata/tr/v1/3016085-7,OY
3175765-5,vaajakosken friends pub oy,,,2020-12-15,http://avoindata.prh.fi/opendata/tr/v1/3175765-5,OY
3168747-4,Kontulan Himabaari Oy,,,2020-11-04,http://avoindata.prh.fi/opendata/tr/v1/3168747-4,OY
3145373-1,English Pub Company Oy,,,2020-07-14,http://avoindata.prh.fi/opendata/tr/v1/3145373-1,OY
3155282-8,V18 Pub Oy,,,2020-09-03,http://avoindata.prh.fi/opendata/tr/v1/3155282-8,OY
3231835-5,Korpi Krouvi Oy,,,2021-09-01,http://avoindata.prh.fi/opendata/tr/v1/3231835-5,OY
3230879-8,Kulmabaarit Oy,,,2021-08-30,http://avoindata.prh.fi/opendata/tr/v1/3230879-8,OY
3228533-8,Pub Torkkari Oy,,,2021-08-19,http://avoindata.prh.fi/opendata/tr/v1/3228533-8,OY
3247763-9,Mikkola Baari oy,,,2021-11-18,http://avoindata.prh.fi/opendata/tr/v1/3247763-9,OY
3251955-2,Paikallinen Bar Baari Oy,,,2021-12-29,http://avoindata.prh.fi/opendata/tr/v1/3251955-2,OY
3241578-8,Virkkala Baari Oy,,,2021-10-19,http://avoindata.prh.fi/opendata/tr/v1/3241578-8,OY
3242483-6,Reuna Publishing House Oy,,,2021-10-19,http://avoindata.prh.fi/opendata/tr/v1/3242483-6,OY
3236041-4,IA Insight Public Oy,,,2021-10-19,http://avoindata.prh.fi/opendata/tr/v1/3236041-4,OY
3240170-6,Matkabaari Oy,,,2021-10-06,http://avoindata.prh.fi/opendata/tr/v1/3240170-6,OY
3240084-2,Pumpun Baari Oy,,,2021-10-05,http://avoindata.prh.fi/opendata/tr/v1/3240084-2,OY
3235391-9,Bittibaari Oy,,,2021-09-21,http://avoindata.prh.fi/opendata/tr/v1/3235391-9,OY
3226634-8,Baarilaite Oy,,,2021-08-04,http://avoindata.prh.fi/opendata/tr/v1/3226634-8,OY
3330314-7,Lvpubao Oy,,,2022-12-14,http://avoindata.prh.fi/opendata/tr/v1/3330314-7,OY
3320395-5,Piikkiön PikkuPubi Oy,,,2022-10-25,http://avoindata.prh.fi/opendata/tr/v1/3320395-5,OY
3319839-1,Dockyard Tavern Oy,,,2022-10-25,http://avoindata.prh.fi/opendata/tr/v1/3319839-1,OY
3296166-6,CNS Pub Oy,,,2022-07-13,http://avoindata.prh.fi/opendata/tr/v1/3296166-6,OY
3308416-7,RAVINTOLA ASKISTON TAVERNA OY,,,2022-09-08,http://avoindata.prh.fi/opendata/tr/v1/3308416-7,OY
3302735-7,Musabaari Oy,,,2022-08-04,http://avoindata.prh.fi/opendata/tr/v1/3302735-7,OY
3313031-1,Pub Limp Crow Oy,,,2022-09-20,http://avoindata.prh.fi/opendata/tr/v1/3313031-1,OY
3311456-5,Baarine Oy,,,2022-09-16,http://avoindata.prh.fi/opendata/tr/v1/3311456-5,OY
3260918-7,Tampereen Speakeasy Oy,,,2022-09-15,http://avoindata.prh.fi/opendata/tr/v1/3260918-7,OY
3260923-2,Speakeasy Invest Oy,,,2022-09-15,http://avoindata.prh.fi/opendata/tr/v1/3260923-2,OY
3379958-4,Just Republic Oy,,,2023-08-09,http://avoindata.prh.fi/opendata/tr/v1/3379958-4,OY
3399637-7,Himpan Matkabaari Oy,,,2023-11-08,http://avoindata.prh.fi/opendata/tr/v1/3399637-7,OY
3408803-9,Publishertools Oy,,,2023-12-20,http://avoindata.prh.fi/opendata/tr/v1/3408803-9,OY
3396761-3,Rantsubaari Oy,,,2023-10-30,http://avoindata.prh.fi/opendata/tr/v1/3396761-3,OY
3394886-9,Koiteli Baari Oy,,,2023-10-10,http://avoindata.prh.fi/opendata/tr/v1/3394886-9,OY
3390875-2,Pub Hutski Oy,,,2023-09-28,http://avoindata.prh.fi/opendata/tr/v1/3390875-2,OY
3392382-1,Nurmeksen Kyläbaarit Oy,,,2023-09-26,http://avoindata.prh.fi/opendata/tr/v1/3392382-1,OY
3373952-2,Leppästen Baari Oy,,,2023-07-03,http://avoindata.prh.fi/opendata/tr/v1/3373952-2,OY
3390015-2,Baari Perla Oy,,,2023-09-18,http://avoindata.prh.fi/opendata/tr/v1/3390015-2,OY
3389084-7,Kosken Krouvi Oy,,,2023-09-14,http://avoindata.prh.fi/opendata/tr/v1/3389084-7,OY
2094731-4,Bells Publishing Oy,,,2007-02-19,http://avoindata.prh.fi/opendata/tr/v1/2094731-4,OY
2095639-2,Harkko Pub Oy,,,2007-02-16,http://avoindata.prh.fi/opendata/tr/v1/2095639-2,OY
2154918-2,Klubiravintola Valte Oy,,,2007-11-16,http://avoindata.prh.fi/opendata/tr/v1/2154918-2,OY
2120557-4,Mertsi Pub Oy,,,2007-07-03,http://avoindata.prh.fi/opendata/tr/v1/2120557-4,OY
2102919-5,Frendit Pub Pirkanmaa Oy,,,2007-03-20,http://avoindata.prh.fi/opendata/tr/v1/2102919-5,OY
1549567-5,Isokenkäisten Klubi Oy,,,2007-01-15,http://avoindata.prh.fi/opendata/tr/v1/1549567-5,OY
2108060-1,HL Publishing Oy,,,2007-04-10,http://avoindata.prh.fi/opendata/tr/v1/2108060-1,OY
2217070-5,MonniKlubi Oy,,,2008-09-10,http://avoindata.prh.fi/opendata/tr/v1/2217070-5,OY
2210281-7,Old Town Public House Oy,,,2008-09-04,http://avoindata.prh.fi/opendata/tr/v1/2210281-7,OY
2224785-6,Fullsteam Publishing Oy,,,2008-10-17,http://avoindata.prh.fi/opendata/tr/v1/2224785-6,OY
2217773-9,Interpublic Finland Oy,,,2008-12-31,http://avoindata.prh.fi/opendata/tr/v1/2217773-9,OY
2237459-9,HiQ Public Oy,,,2008-12-11,http://avoindata.prh.fi/opendata/tr/v1/2237459-9,OY
2235770-5,In Between Publishing Oy,,,2008-12-09,http://avoindata.prh.fi/opendata/tr/v1/2235770-5,OY
2237934-9,MB-Klubi Oy,,,2008-12-09,http://avoindata.prh.fi/opendata/tr/v1/2237934-9,OY
2234618-4,Pub Hopotus Oy,,,2008-12-01,http://avoindata.prh.fi/opendata/tr/v1/2234618-4,OY
